               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  89,             0.03083,           0.0082217,           0.0077158,             0.99883,                   1,               0.995,             0.66067,            0.029993,            0.004578,           0.0031583,           0.0082576,           0.0082576,           0.0082576
                  90,            0.033002,           0.0084699,           0.0055269,             0.99934,             0.97374,             0.99452,             0.69658,            0.022873,            0.004797,           0.0035286,           0.0082378,           0.0082378,           0.0082378
                  91,            0.030891,            0.009861,           0.0065985,             0.92785,             0.95502,             0.98762,             0.67505,            0.026018,           0.0046997,           0.0034311,            0.008218,            0.008218,            0.008218
                  92,            0.032689,           0.0092687,           0.0054395,             0.95724,             0.97855,             0.98407,              0.6874,            0.022537,           0.0044643,           0.0035882,           0.0081982,           0.0081982,           0.0081982
                  93,            0.030882,           0.0096282,            0.006796,             0.94915,             0.95233,             0.99408,             0.68543,            0.023235,           0.0045911,           0.0034571,           0.0081784,           0.0081784,           0.0081784
                  94,            0.028917,           0.0094835,           0.0059124,             0.97649,             0.97552,             0.99332,             0.64315,            0.024924,           0.0048277,           0.0033433,           0.0081586,           0.0081586,           0.0081586
                  95,            0.031821,           0.0093182,           0.0046692,             0.99521,             0.99325,               0.995,             0.69932,            0.025413,           0.0048295,           0.0032565,           0.0081388,           0.0081388,           0.0081388
                  96,            0.030753,           0.0085821,           0.0051798,             0.91769,             0.98926,             0.99384,             0.65265,            0.028042,           0.0048288,           0.0036599,            0.008119,            0.008119,            0.008119
                  97,            0.031485,           0.0091826,           0.0042936,             0.99167,                   1,               0.995,             0.72699,            0.023251,           0.0045335,           0.0031068,           0.0080992,           0.0080992,           0.0080992
                  98,            0.031229,           0.0086886,           0.0045907,             0.99607,                   1,               0.995,             0.74036,            0.020774,           0.0044497,           0.0031367,           0.0080794,           0.0080794,           0.0080794
                  99,            0.029839,           0.0093706,           0.0050228,             0.99882,                   1,               0.995,             0.71861,            0.022357,           0.0043324,           0.0027599,           0.0080596,           0.0080596,           0.0080596
                 100,            0.030621,           0.0083907,           0.0052276,             0.98441,                   1,               0.995,             0.70901,             0.02554,           0.0044399,           0.0027996,           0.0080398,           0.0080398,           0.0080398
                 101,            0.030498,           0.0085297,           0.0044689,               0.998,                   1,               0.995,             0.71042,            0.020138,           0.0043657,           0.0029008,             0.00802,             0.00802,             0.00802
                 102,            0.030984,           0.0089571,           0.0041182,             0.99858,                   1,               0.995,             0.69328,            0.021422,           0.0044514,           0.0028632,           0.0080002,           0.0080002,           0.0080002
                 103,            0.030801,           0.0093756,           0.0042449,              0.9988,                   1,               0.995,             0.68315,            0.021787,           0.0043622,           0.0028227,           0.0079804,           0.0079804,           0.0079804
                 104,            0.030067,            0.009163,           0.0049025,             0.99804,                   1,               0.995,             0.69172,            0.023806,           0.0043479,           0.0028597,           0.0079606,           0.0079606,           0.0079606
                 105,            0.030679,           0.0090525,           0.0054313,             0.99642,                   1,               0.995,             0.63962,            0.024624,           0.0045544,            0.002966,           0.0079408,           0.0079408,           0.0079408
                 106,            0.029718,           0.0092862,           0.0060709,              0.9987,                   1,               0.995,             0.68769,            0.023232,            0.004511,           0.0028633,            0.007921,            0.007921,            0.007921
                 107,            0.029881,           0.0085784,           0.0049751,             0.99878,                   1,               0.995,             0.65133,            0.026194,           0.0046014,           0.0028781,           0.0079012,           0.0079012,           0.0079012
                 108,             0.03093,           0.0083667,           0.0047593,             0.99754,                   1,               0.995,             0.69238,            0.025639,           0.0044301,           0.0029483,           0.0078814,           0.0078814,           0.0078814
                 109,            0.032918,           0.0090946,           0.0053311,             0.99878,                   1,               0.995,             0.71249,             0.02169,           0.0044214,           0.0029071,           0.0078616,           0.0078616,           0.0078616
                 110,            0.033371,           0.0093032,           0.0046389,             0.99883,                   1,               0.995,             0.73693,            0.020611,           0.0043285,           0.0029726,           0.0078418,           0.0078418,           0.0078418
                 111,            0.026411,           0.0090868,           0.0043386,             0.99071,                   1,               0.995,              0.6375,            0.023952,           0.0044308,           0.0032823,            0.007822,            0.007822,            0.007822
                 112,            0.029968,           0.0084374,           0.0055657,             0.95828,                   1,             0.99469,             0.67741,            0.026611,           0.0043549,           0.0042877,           0.0078022,           0.0078022,           0.0078022
                 113,            0.030411,           0.0085298,           0.0051916,             0.97348,                   1,             0.99299,             0.62955,            0.025596,           0.0044981,           0.0028109,           0.0077824,           0.0077824,           0.0077824
                 114,            0.029555,           0.0087232,            0.005095,             0.99745,                   1,               0.995,             0.62522,            0.024869,           0.0044808,           0.0028162,           0.0077626,           0.0077626,           0.0077626
                 115,             0.02895,           0.0086289,           0.0043705,             0.99772,                   1,               0.995,             0.73027,            0.022065,           0.0044163,           0.0027824,           0.0077428,           0.0077428,           0.0077428
